Text,NER
i7-{d}nin-gesz-zi-da,WN
i7-giri3-gu-x-ma-ka,WN
i7-sag-du3,WN
i7-ba-rum{ki},WN
i7-sal-la,WN
i7-ur-sag10-szer3-ra2,WN
i7-lugal-za3-bur-ra-x-ka,WN
i7-{d}amar-{d}suen-ni-tum-ma,WN
i7-i3-sum-ka,WN
idigna-da,WN
i7-i3-ba-al-nu-ba-al,WN
i7-ur-sag-gal,WN
gu2-i7-gibil,WN
i7-ma2-gur8-ra,WN
i7-kisig2{ki},WN
i7-bi2-za-gi-li-li,WN
ki-sal4-la,WN
i7-eb-la{ki}-ka,WN
a-{d}nin-tu,WN
kun-u3-dag-ga-sumun-da-e2-duru5-lu2-mah,WN
a-sza3-{d}inanna-ka,WN
u3-sur-ma2-gur8-ra,WN
i7-a-masz-ti-ak,WN
i7-{d}szul-gi-he2-gal2,WN
i7-lugal-pa-e3,WN
sig7-tur,WN
i7-gibil-x,WN
i7-pa4-sikil-nun,WN
i7-muru13,WN
ki-sal4-mu,WN
a-u2-da-tur,WN
i7-ib2-tur3{ki}-ka,WN
i7-ur-sag10,WN
i7-unu6-ib2-ba,WN
i7-nin-he2-gal2,WN
i7-i3-si-in{ki},WN
GAN-mah,WN
i7-da-ba-an,WN
i7-sal4-la,WN
i7-ka-ma-ri2{ki},WN
i7-bi2-za-gi-li-li-bar-si-ga,WN
i7-du6-nunuz-ka-kam,WN
i7-idigna-a,WN
i7-gir2-su{ki},WN
i7-eb-la{ki},WN
esz3,WN
buranun,WN
u3-dag-ga-ka-sag-TAR,WN
idigna,WN
i7-{d}amar-{d}suen-ke4-ga2,WN
si-sa2,WN
i7-lah5-ka,WN
{id2}e-eren-na-ka,WN
i7,WN
{d}amar-{d}suen-{d}szara2-ki-ag2-ga2,WN
{gesz}kiri6-du3-ba-ba-KA,WN
gurusz-gin7-du-a,WN
{gesz}urumx(|UR2xU2|),WN
i7-tur3,WN
i7-kun-nagar,WN
u3-BAD,WN
i7-{d}nanna,WN
u3-sur-tir,WN
i7-nigin9,WN
i7-{d}amar-{d}suen-ke4,WN
i7-...,WN
i7-tul2-la2-a{ki},WN
e2-{d}lamma,WN
a-sza3-a-u2-da-tur,WN
e2-duru5-a-sza3-la2-mah,WN
esz3-e-ka,WN
masz-gan2-...{ki},WN
i7-...-x,WN
i7-lu2-du10-ga,WN
i7-idigna-gu-la,WN
{gesz}kiri6-inim-{d}inanna,WN
i7-ur-li,WN
i7-kur,WN
i7-{d}nin-ur4-ra,WN
i7-{d}amar-{d}suen-ke4-gar,WN
i7-uri5{ki}-ma,WN
i7-ka-imin-na,WN
i7-sal4-la-asz,WN
a-sza3-u2-du-{d}nin-a-ra-li,WN
a-sza3-tur,WN
a-sza3-muru13-uku2,WN
a-sza3-sipa-da,WN
{d}nin-he2-gal2,WN
a-sza3-ni-da-mu,WN
nina{ki}-sze3-du,WN
i7-nun-KIB{ki},WN
i7-nam-ha-ni,WN
i7-ur-tur,WN
i7-lugal-igi-e2-mah,WN
i7-gurusz-gin7-du,WN
lugal-ur2-ra-ni,WN
i7-gir2-su,WN
i7-UD@g,WN
i7-{d}en-lil2-la2-ka,WN
igi-...,WN
u3-PI-iri-a,WN
i7-tur-tur-ra,WN
x-pirig,WN
i7-UD@g-us2-sa,WN
