Text,NER
{d}a-na,TN
e2-iti-6(disz),TN
{d}nam2-nun,TN
e2-igi-szu-galam,TN
e2-gal-mah,TN
{d}musz-a-gal2,TN
e2-mah-da,TN
i7-a-edin-na,TN
du6-ur2,TN
e2-{d}szul-gi-ra,TN
hal-an-ku3,TN
kur-ra-igi-gal2,TN
e2-gid2-da,TN
hur-sag-kalam-ma,TN
e2-ninnu,TN
e2-danna-ka,TN
dub-la2-mah,TN
e2-mah,TN
e2-{d}szara2,TN
e2-{d}nin-kar2,TN
e2-sar,TN
e2-gal-edin,TN
ti(BAL)-ra-asz2,TN
e2-{d}na-na-a,TN
ba-gara2(BI),TN
{d}nam-ha-ni,TN
e2-gibil4,TN
e2-inim-{d}szara2,TN
e2-husz,TN
e2-u4-1(u)-5(disz),TN
kar-zi-da,TN
e2-gibil4-le-ka,TN
ti-ra-asz2,TN
dub-la2-mah,TN
e2-a-na,TN
e2-{d}nanna,TN
ba-gara2-a,TN
e2-babbar2,TN
dub-la2-mah-a,TN
dub-la2-mah-ha,TN
e2-iti-6(disz)-6(disz),TN
e2-ku6-nu-gu7,TN
{d}nin-gesz-zi-da,TN
e2-mah-ka,TN
ba-gara2-mu,TN
e2-{d}amar-{d}suen,TN
e2-babbar2,TN
e2-an-na-zu,TN
e2-sikil,TN
a2-{me}me3-ka,TN
e2-{d}nin-ka,TN
e2-an-na,TN
ba-gara2-da,TN
{d}gesz-bar-e3-kin-ga2,TN
e2-babbar,TN
e2-ba-gara2,TN
anzu2{muszen}-babbar2,TN
e2-ge6-par4,TN
{d}nin-ku3-nun,TN
e2-{d}szakkan2,TN
