Text,NER
{d}inana,PN
ensi2 nibru{ki},PN
zabar-dab5,PN
szesz-Da-da sanga,PN
s,e-lu-usz-da-gan,PN
ur-{d}en-lil2-la2,PN
lu2-{d}nanna,PN
e2-a-i3-li2,PN
ensi2 szuruppak,PN
ARAD2-mu,PN
nir-i3-da-gal2,PN
ur-mes ensi2,PN
ensi2 umma{ki},PN
ur-{d}suen,PN
ur-nigar{gar},PN
ensi2 Gir2-su{ki},PN
lugal-a2-zi-da szabra,PN
id-da-a,PN
ensi2 Adab{ki},PN
Lu2-{d}nin-szubur,PN
ensi2 urumx(|UR2xU2|){ki},PN
ur-nigar{gar} ka-guru7,PN
lugal-ma2-gur8-re,PN
ur-nigar,PN
ur-{d}nin-gublaga,PN
szu-ru-usz-ki-in,PN
ur-{d}Nin-gal,PN
ensi2 mar-da{ki},PN
szar-ru-um-ba-ni,PN
nu-i3-da,PN
lugal-nir-gal2,PN
szesz-kal-la,PN
lu2-bala-sa6-ga,PN
szar-ru-um-i3-li2,PN
